,Zip,City,Latitude,Longitude,Cluster Labels20,Cluster Labels10,Cluster Labels5,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
197,77041,Houston,29.85873,-95.57243,7,7,2,Miscellaneous Shop,Construction & Landscaping,Donut Shop,Restaurant,Home Service,Zoo Exhibit,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
333,78732,Austin,30.382724,-97.89459,7,7,2,Cosmetics Shop,Music Store,Park,Trail,Sushi Restaurant,Zoo Exhibit,Field,Event Space,Eye Doctor,Fabric Shop
384,78750,Austin,30.438933,-97.80383,7,7,2,Pizza Place,Yoga Studio,Bagel Shop,Tennis Court,Bank,Martial Arts Dojo,Park,Sandwich Place,Donut Shop,Noodle House
20,75215,Dallas,32.76103,-96.77035,7,2,3,Recreation Center,Gym Pool,Coffee Shop,Restaurant,Pizza Place,Zoo Exhibit,Fast Food Restaurant,Event Service,Event Space,Eye Doctor
270,77012,Houston,29.719778,-95.27906,8,9,2,Mexican Restaurant,Sports Bar,Harbor / Marina,Zoo Exhibit,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
5,75202,Dallas,32.77988,-96.80502,9,7,2,Hotel,History Museum,Plaza,Coffee Shop,New American Restaurant,Bakery,Steakhouse,French Restaurant,Mexican Restaurant,Scenic Lookout
16,75270,Dallas,32.78133,-96.80198,9,7,2,Hotel,Coffee Shop,Steakhouse,Plaza,Cocktail Bar,Bakery,New American Restaurant,Bar,Park,Mexican Restaurant
22,75251,Dallas,32.919104,-96.77497,9,7,2,Hotel,Bank,Park,Residential Building (Apartment / Condo),Coffee Shop,Fast Food Restaurant,Burger Joint,Pharmacy,Warehouse Store,Gym
36,75247,Dallas,32.817978,-96.87928,9,7,2,Hotel,American Restaurant,Fried Chicken Joint,Bakery,Pizza Place,Restaurant,Coffee Shop,Event Service,Fast Food Restaurant,Sporting Goods Shop
132,77042,Houston,29.741565,-95.55996,9,7,2,Hotel,Sandwich Place,Pizza Place,Bakery,Gas Station,Rental Car Location,Mexican Restaurant,Sporting Goods Shop,Grocery Store,Donut Shop
198,77002,Houston,29.755578,-95.36531,9,7,2,Hotel,Burger Joint,Sandwich Place,Steakhouse,Italian Restaurant,Coffee Shop,Lounge,Pizza Place,French Restaurant,Thai Restaurant
247,77010,Houston,29.754728,-95.36216,9,7,2,Hotel,Lounge,Steakhouse,Mexican Restaurant,Burger Joint,Bar,Food Court,Beer Bar,Gastropub,Market
255,77014,Houston,29.979063,-95.47294,9,7,2,BBQ Joint,Hotel,Gym,Seafood Restaurant,Golf Course,Home Service,Bakery,Convenience Store,Food & Drink Shop,Food Court
307,78701,Austin,30.27127,-97.74103,9,7,2,Hotel,Cocktail Bar,Coffee Shop,Movie Theater,Capitol Building,Bar,Lounge,Juice Bar,Steakhouse,Burger Joint
321,78712,Austin,30.285207,-97.735394,9,7,2,Hotel,History Museum,Fast Food Restaurant,Sandwich Place,Public Art,Pool,Student Center,Indian Restaurant,Art Museum,Football Stadium
323,78752,Austin,30.332506,-97.70571,9,7,2,Hotel,Mexican Restaurant,Wings Joint,Park,Chinese Restaurant,Movie Theater,Hookah Bar,Men's Store,Korean Restaurant,Bank
154,77013,Houston,29.78146,-95.24289,9,9,2,Hotel,Mexican Restaurant,Seafood Restaurant,Park,Mobile Phone Shop,Fast Food Restaurant,Discount Store,Snack Place,Motel,Electronics Store
192,77032,Houston,29.944922,-95.34152,9,9,2,Hotel,Mexican Restaurant,Fast Food Restaurant,Sandwich Place,Fried Chicken Joint,Dive Bar,Motel,Cajun / Creole Restaurant,Gas Station,Smoke Shop
283,77060,Houston,29.933367,-95.39916,9,9,2,Hotel,Mexican Restaurant,Fried Chicken Joint,Pizza Place,Fast Food Restaurant,Shipping Store,Business Service,Nail Salon,New American Restaurant,Cajun / Creole Restaurant
161,77049,Houston,29.832668,-95.1742,10,9,2,German Restaurant,Movie Theater,Fast Food Restaurant,Surf Spot,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
18,75234,Dallas,32.925975,-96.88322,11,7,2,Soccer Field,Pizza Place,Breakfast Spot,Mexican Restaurant,Baseball Field,Park,Bank,Asian Restaurant,Fried Chicken Joint,Garden
65,75254,Dallas,32.946069,-96.794496,11,7,2,Pizza Place,Department Store,Sports Bar,Dry Cleaner,Mexican Restaurant,Bubble Tea Shop,Fast Food Restaurant,Nail Salon,Fabric Shop,Shipping Store
107,75225,Dallas,32.862876,-96.7904,11,7,2,Park,Cosmetics Shop,Nail Salon,Seafood Restaurant,Tennis Court,Bakery,Electronics Store,Sandwich Place,Donut Shop,Gym
143,77066,Houston,29.959439,-95.49694,11,7,2,Park,Food Truck,Mexican Restaurant,Baseball Field,Spa,Insurance Office,Pharmacy,Department Store,Video Store,Farm
219,77096,Houston,29.674336,-95.48123,11,7,2,Cosmetics Shop,Café,Pizza Place,Grocery Store,Salon / Barbershop,Gym / Fitness Center,Gym,BBQ Joint,Bakery,Food & Drink Shop
251,77045,Houston,29.629111,-95.43841,11,7,2,Moving Target,Cosmetics Shop,Sports Bar,Food Truck,Gas Station,Art Gallery,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant
260,77292,Houston,29.744341,-95.332598,11,7,2,Video Store,Dive Bar,Fried Chicken Joint,Discount Store,Music Store,Snack Place,Mexican Restaurant,Supermarket,Gas Station,Bar
313,78745,Austin,30.207559,-97.79575,11,7,2,Convenience Store,Pizza Place,Food Truck,Cosmetics Shop,Health & Beauty Service,Food & Drink Shop,Boxing Gym,Seafood Restaurant,Bakery,Sandwich Place
347,78723,Austin,30.306507,-97.68651,11,7,2,Gym / Fitness Center,Food Truck,Cosmetics Shop,Restaurant,Pizza Place,Grocery Store,Disc Golf,Donut Shop,Mobile Phone Shop,Discount Store
353,78716,Austin,30.316223,-97.85877,11,7,2,Pizza Place,Gym,Convenience Store,Pet Store,Health & Beauty Service,Gas Station,Lawyer,Doctor's Office,BBQ Joint,Massage Studio
356,78724,Austin,30.294148,-97.62863,11,7,2,General Entertainment,Nightclub,Grocery Store,Market,Athletics & Sports,Farmers Market,Flea Market,Gas Station,Moving Target,Food & Drink Shop
371,78736,Austin,30.245558,-97.94177,11,7,2,Market,Souvenir Shop,Zoo Exhibit,Financial or Legal Service,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
1,75255,Dallas,32.669783,-96.614921,11,9,2,Home Service,Advertising Agency,Deli / Bodega,Mexican Restaurant,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
8,75228,Dallas,32.825227,-96.67955,11,9,2,Business Service,Convenience Store,Sandwich Place,Discount Store,Flower Shop,Gym / Fitness Center,Dessert Shop,Grocery Store,Recreation Center,Locksmith
17,75220,Dallas,32.867977,-96.86306,11,9,2,Convenience Store,Pizza Place,Mexican Restaurant,Grocery Store,Wings Joint,Mobile Phone Shop,Bank,Seafood Restaurant,Latin American Restaurant,Shoe Store
21,75231,Dallas,32.874317,-96.74764,11,9,2,Baseball Field,Pizza Place,Video Game Store,Tennis Court,Chinese Restaurant,Movie Theater,Coffee Shop,Fast Food Restaurant,Smoke Shop,Golf Driving Range
28,75246,Dallas,32.791878,-96.77365,11,9,2,Mexican Restaurant,Sandwich Place,Pizza Place,Dive Bar,Fast Food Restaurant,BBQ Joint,Bar,Gym / Fitness Center,Taco Place,Discount Store
37,75207,Dallas,32.78643,-96.81992,11,9,2,Antique Shop,Pizza Place,Fast Food Restaurant,Mexican Restaurant,Art Gallery,Brewery,Convenience Store,Furniture / Home Store,Gym / Fitness Center,New American Restaurant
40,75223,Dallas,32.792879,-96.74918,11,9,2,Mexican Restaurant,Convenience Store,Liquor Store,Fast Food Restaurant,Fried Chicken Joint,Bakery,Sandwich Place,Tennis Court,Grocery Store,Theater
50,75212,Dallas,32.78238,-96.86945,11,9,2,Discount Store,Business Service,Thrift / Vintage Store,Mexican Restaurant,Pizza Place,Locksmith,Convenience Store,Food Court,Field,Eye Doctor
81,75211,Dallas,32.736931,-96.88253,11,9,2,Liquor Store,Mexican Restaurant,Convenience Store,Video Store,Fast Food Restaurant,Taco Place,Burger Joint,BBQ Joint,Grocery Store,Supermarket
89,75232,Dallas,32.664034,-96.83886,11,9,2,Pizza Place,Discount Store,Sandwich Place,Pawn Shop,Donut Shop,Pharmacy,Department Store,Grocery Store,Convenience Store,Fried Chicken Joint
113,75233,Dallas,32.704398,-96.87222,11,9,2,Mexican Restaurant,Storage Facility,Rental Car Location,Taco Place,Zoo Exhibit,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
124,77015,Houston,29.778526,-95.18118,11,9,2,Mexican Restaurant,Fast Food Restaurant,Seafood Restaurant,Bakery,Paper / Office Supplies Store,Burger Joint,Moving Target,Breakfast Spot,Mobile Phone Shop,Skating Rink
134,77037,Houston,29.885451,-95.39552,11,9,2,Flea Market,Lighting Store,Food Truck,Convenience Store,Grocery Store,Discount Store,Financial or Legal Service,Eye Doctor,Fabric Shop,Falafel Restaurant
135,77093,Houston,29.862024,-95.33967,11,9,2,Pizza Place,Brewery,Supermarket,Mexican Restaurant,Mobile Phone Shop,Discount Store,Grocery Store,Food Truck,Financial or Legal Service,Eye Doctor
167,77023,Houston,29.725961,-95.3227,11,9,2,Taco Place,Paintball Field,Comfort Food Restaurant,Baseball Field,Fast Food Restaurant,Latin American Restaurant,Mexican Restaurant,Bar,Gaming Cafe,Convenience Store
168,77087,Houston,29.686579,-95.30386,11,9,2,Mexican Restaurant,Bakery,Construction & Landscaping,Liquor Store,Football Stadium,Fast Food Restaurant,Dog Run,Athletics & Sports,Rental Service,Rental Car Location
186,77076,Houston,29.858525,-95.38178,11,9,2,Seafood Restaurant,Food Truck,Ice Cream Shop,Home Service,Casino,Taco Place,Mexican Restaurant,Fast Food Restaurant,Pizza Place,Pharmacy
194,77092,Houston,29.833326,-95.47644,11,9,2,Mexican Restaurant,Fast Food Restaurant,Hotel,Cosmetics Shop,Grocery Store,Bakery,Bank,Golf Course,Gas Station,Burger Joint
204,77053,Houston,29.596666,-95.45981,11,9,2,Mexican Restaurant,Pizza Place,Grocery Store,Discount Store,Fast Food Restaurant,Gas Station,Check Cashing Service,Shipping Store,Liquor Store,Seafood Restaurant
209,77089,Houston,29.589831,-95.22251,11,9,2,Vietnamese Restaurant,Grocery Store,Cajun / Creole Restaurant,Convenience Store,Donut Shop,Pizza Place,Shop & Service,Salon / Barbershop,Discount Store,Event Service
212,77061,Houston,29.66028,-95.28446,11,9,2,Airport Terminal,Rental Car Location,Convenience Store,Bus Station,Mexican Restaurant,Gift Shop,Donut Shop,Fast Food Restaurant,Smoke Shop,Locksmith
228,77055,Houston,29.798877,-95.49629,11,9,2,Pizza Place,Mexican Restaurant,Discount Store,Bakery,Financial or Legal Service,Taco Place,Bar,Bank,Sandwich Place,BBQ Joint
235,77587,South Houston,29.66223,-95.23106,11,9,2,Mexican Restaurant,Baseball Field,Home Service,Fast Food Restaurant,Gym,Pizza Place,Thrift / Vintage Store,American Restaurant,Park,Food
239,77009,Houston,29.79326,-95.36735,11,9,2,Mexican Restaurant,Pizza Place,Sandwich Place,Hotel,Concert Hall,Bar,Gym / Fitness Center,Tex-Mex Restaurant,Bank,Coffee Shop
240,77075,Houston,29.620881,-95.26018,11,9,2,Mexican Restaurant,Ice Cream Shop,Grocery Store,Construction & Landscaping,Burger Joint,IT Services,Insurance Office,Fountain,Event Service,Event Space
252,77020,Houston,29.775927,-95.31836,11,9,2,Sandwich Place,Park,Intersection,Mexican Restaurant,Fried Chicken Joint,Pharmacy,Skate Park,Fast Food Restaurant,Gas Station,Discount Store
256,77038,Houston,29.917814,-95.44138,11,9,2,Bubble Tea Shop,Dessert Shop,Kids Store,Park,Mobile Phone Shop,Discount Store,Seafood Restaurant,Mexican Restaurant,Convenience Store,Bakery
273,77017,Houston,29.687829,-95.25478,11,9,2,Baseball Field,Discount Store,Grocery Store,Outdoors & Recreation,Casino,Video Store,Zoo Exhibit,Fabric Shop,Falafel Restaurant,Farm
291,77086,Houston,29.920981,-95.49556,11,9,2,Vietnamese Restaurant,Fast Food Restaurant,Pizza Place,Gas Station,Mexican Restaurant,Discount Store,Bus Station,Pawn Shop,Bar,Grocery Store
294,77000,Houston,29.711257,-95.304936,11,9,2,Discount Store,Mexican Restaurant,Fast Food Restaurant,ATM,Seafood Restaurant,Grocery Store,Clothing Store,Sandwich Place,Chinese Restaurant,Optical Shop
300,77039,Houston,29.909123,-95.33683,11,9,2,Pizza Place,Discount Store,Fried Chicken Joint,Mobile Phone Shop,Gas Station,Mexican Restaurant,Fast Food Restaurant,Taco Place,Donut Shop,Pharmacy
301,77052,Houston,29.676829,-95.177587,11,9,2,Mexican Restaurant,Convenience Store,Liquor Store,Ice Cream Shop,Food,Baseball Field,Fast Food Restaurant,Pet Store,Event Space,Food & Drink Shop
303,77080,Houston,29.816866,-95.52309,11,9,2,Vietnamese Restaurant,Grocery Store,Discount Store,Pharmacy,Sandwich Place,Burger Joint,Ice Cream Shop,Fried Chicken Joint,Mexican Restaurant,Taco Place
304,77081,Houston,29.70828,-95.48361,11,9,2,Mexican Restaurant,Fried Chicken Joint,Fast Food Restaurant,Pizza Place,Latin American Restaurant,Taco Place,Coffee Shop,Ice Cream Shop,Sandwich Place,Burger Joint
311,78763,Austin,30.335398,-97.559807,11,9,2,Mexican Restaurant,Pizza Place,Discount Store,Liquor Store,Restaurant,Gas Station,Video Store,Grocery Store,Burger Joint,Fast Food Restaurant
334,78741,Austin,30.231252,-97.716,11,9,2,Cosmetics Shop,Pizza Place,Pharmacy,Liquor Store,Mexican Restaurant,Gym / Fitness Center,Video Store,Food Truck,Grocery Store,Bank
345,78753,Austin,30.374654,-97.67621,11,9,2,Mexican Restaurant,Burger Joint,Furniture / Home Store,Rental Car Location,Bank,Discount Store,Grocery Store,Gym,Park,Casino
357,78764,Austin,30.445502,-97.659533,11,9,2,Convenience Store,Pizza Place,Cosmetics Shop,Mobile Phone Shop,Discount Store,Liquor Store,Fast Food Restaurant,Mexican Restaurant,Gym / Fitness Center,Steakhouse
358,78758,Austin,30.384204,-97.70392,11,9,2,Brewery,Gas Station,Home Service,Middle Eastern Restaurant,Mexican Restaurant,Pharmacy,Gym / Fitness Center,Fast Food Restaurant,Sushi Restaurant,Business Service
376,78972,Austin,30.31536,-97.663293,11,9,2,Discount Store,Cosmetics Shop,Athletics & Sports,Pizza Place,Department Store,Pharmacy,Chinese Restaurant,Fast Food Restaurant,Basketball Court,Baseball Field
389,78731,Austin,30.344305,-97.7638,11,9,2,Business Service,Gas Station,Shipping Store,Electronics Store,Cosmetics Shop,Spa,Convenience Store,Nature Preserve,Assisted Living,Mexican Restaurant
3,75252,Dallas,32.998132,-96.79088,12,7,2,Mexican Restaurant,Sandwich Place,Coffee Shop,Bank,Nail Salon,Gym,Convenience Store,Mediterranean Restaurant,Bagel Shop,Fast Food Restaurant
54,75244,Dallas,32.922624,-96.83616,12,7,2,Furniture / Home Store,Gym / Fitness Center,Fast Food Restaurant,Electronics Store,Sandwich Place,Hotel,Golf Course,Auto Dealership,Restaurant,Outlet Store
57,75204,Dallas,32.800333,-96.78952,12,7,2,Coffee Shop,American Restaurant,Yoga Studio,Mexican Restaurant,Pharmacy,Bar,Wine Bar,Park,Restaurant,Sports Bar
58,75226,Dallas,32.783978,-96.77662,12,7,2,Bar,Coffee Shop,Dive Bar,American Restaurant,Pizza Place,BBQ Joint,Mexican Restaurant,Brewery,Burger Joint,Cocktail Bar
62,75205,Dallas,32.836094,-96.79524,12,7,2,Boutique,Women's Store,Bakery,Shopping Mall,Clothing Store,Grocery Store,Coffee Shop,Bank,Golf Course,Gym
67,75221,Dallas,32.814728,-96.787725,12,7,2,Furniture / Home Store,Pizza Place,New American Restaurant,Restaurant,Taco Place,Spa,Mexican Restaurant,Gift Shop,Sushi Restaurant,Sandwich Place
68,75237,Dallas,32.666984,-96.87633,12,7,2,Fried Chicken Joint,Nail Salon,Pizza Place,Supplement Shop,Automotive Shop,BBQ Joint,Coffee Shop,Food & Drink Shop,Sandwich Place,Chinese Restaurant
71,75219,Dallas,32.812462,-96.81412,12,7,2,Gay Bar,Nail Salon,Mexican Restaurant,Yoga Studio,Bar,Diner,Coffee Shop,French Restaurant,Fried Chicken Joint,Thai Restaurant
78,75206,Dallas,32.826128,-96.7712,12,7,2,Pizza Place,Burger Joint,Mexican Restaurant,Sushi Restaurant,Deli / Bodega,Salon / Barbershop,Bakery,Latin American Restaurant,Bar,Café
79,75235,Dallas,32.828128,-96.84612,12,7,2,Rental Car Location,Fast Food Restaurant,American Restaurant,Burger Joint,Hotel,Gym,Gas Station,Taco Place,Park,BBQ Joint
82,75218,Dallas,32.842726,-96.69937,12,7,2,Park,Wings Joint,Pharmacy,Video Store,Mobile Phone Shop,Burger Joint,Convenience Store,Flower Shop,Bar,Taco Place
93,75209,Dallas,32.845978,-96.82552,12,7,2,Mexican Restaurant,Bakery,American Restaurant,Dive Bar,Nail Salon,Salon / Barbershop,Spa,Coffee Shop,Furniture / Home Store,Smoothie Shop
95,75201,Dallas,32.787629,-96.79941,12,7,2,Steakhouse,Food Truck,Mexican Restaurant,Performing Arts Venue,Hotel,Restaurant,Japanese Restaurant,American Restaurant,New American Restaurant,Theater
109,75208,Dallas,32.751464,-96.83864,12,7,2,Mexican Restaurant,Italian Restaurant,Taco Place,Chocolate Shop,Dessert Shop,Gym,Ice Cream Shop,American Restaurant,Coffee Shop,Golf Course
123,77046,Houston,29.733181,-95.43131,12,7,2,Italian Restaurant,Burger Joint,Bakery,Mexican Restaurant,Coffee Shop,Chinese Restaurant,Café,Seafood Restaurant,Bar,Sushi Restaurant
126,77072,Houston,29.700898,-95.59002,12,7,2,Vietnamese Restaurant,Massage Studio,Asian Restaurant,Noodle House,Grocery Store,Pet Store,Gas Station,Liquor Store,Restaurant,BBQ Joint
129,77003,Houston,29.749278,-95.34741,12,7,2,Bar,Pizza Place,Brewery,Food Truck,Beer Garden,Soccer Stadium,Mexican Restaurant,Convenience Store,Coffee Shop,Burger Joint
133,77091,Houston,29.852975,-95.43586,12,7,2,Moving Target,Burger Joint,Concert Hall,Rest Area,Arts & Entertainment,Zoo Exhibit,Flea Market,Fabric Shop,Falafel Restaurant,Farm
138,77004,Houston,29.728779,-95.3657,12,7,2,Bar,Bagel Shop,Nightclub,Coffee Shop,Bakery,Moving Target,Theater,Lounge,College Rec Center,Fast Food Restaurant
140,77030,Houston,29.704584,-95.40466,12,7,2,Food Service,Sandwich Place,Burger Joint,Coffee Shop,Pizza Place,American Restaurant,Fast Food Restaurant,Pharmacy,Bank,Gym / Fitness Center
141,77005,Houston,29.717529,-95.42821,12,7,2,Pharmacy,Restaurant,Park,Kids Store,Theater,Burger Joint,Café,Cafeteria,Boutique,Gym
145,77059,Houston,29.601776,-95.11734,12,7,2,Business Service,Home Service,Asian Restaurant,Mobile Phone Shop,Pet Store,Sandwich Place,American Restaurant,Smoothie Shop,Convenience Store,Pizza Place
157,77057,Houston,29.745129,-95.49131,12,7,2,Sushi Restaurant,Steakhouse,Seafood Restaurant,Italian Restaurant,Burger Joint,Cosmetics Shop,Cajun / Creole Restaurant,Chinese Restaurant,Mexican Restaurant,Food Truck
163,77056,Houston,29.747328,-95.46931,12,7,2,American Restaurant,New American Restaurant,Italian Restaurant,French Restaurant,Seafood Restaurant,Burger Joint,Japanese Restaurant,Department Store,Steakhouse,Pizza Place
202,77064,Houston,29.923638,-95.55919,12,7,2,Credit Union,Pizza Place,Furniture / Home Store,Taco Place,Gift Shop,Grocery Store,Sandwich Place,Liquor Store,Construction & Landscaping,Hotel
203,77044,Houston,29.88277,-95.16782,12,7,2,Burger Joint,Music Venue,Bar,Optical Shop,Dive Bar,Zoo Exhibit,Flea Market,Falafel Restaurant,Farm,Farmers Market
207,77054,Houston,29.683865,-95.39772,12,7,2,Rental Car Location,Pizza Place,Gas Station,Indian Restaurant,BBQ Joint,Grocery Store,General Entertainment,Fast Food Restaurant,Auto Garage,Gym
210,77063,Houston,29.734379,-95.52269,12,7,2,Mexican Restaurant,Mobile Phone Shop,Mediterranean Restaurant,Pizza Place,Sandwich Place,Rental Car Location,Coffee Shop,Spa,Ethiopian Restaurant,Bakery
215,77051,Houston,29.66543,-95.36871,12,7,2,Food Truck,Burger Joint,Seafood Restaurant,Food,Park,Southern / Soul Food Restaurant,Mobile Phone Shop,Comfort Food Restaurant,Comedy Club,Restaurant
221,77019,Houston,29.752528,-95.39923,12,7,2,Italian Restaurant,Pub,Pizza Place,Coffee Shop,Gym,Gym / Fitness Center,Bar,Cosmetics Shop,Department Store,New American Restaurant
230,77098,Houston,29.735529,-95.41405,12,7,2,Pizza Place,Seafood Restaurant,Pet Store,Sushi Restaurant,Italian Restaurant,Mexican Restaurant,Grocery Store,Dessert Shop,New American Restaurant,Beer Bar
234,77006,Houston,29.741878,-95.38944,12,7,2,Coffee Shop,Bar,Italian Restaurant,Breakfast Spot,Mediterranean Restaurant,Wine Bar,Japanese Restaurant,Pizza Place,Cajun / Creole Restaurant,Burger Joint
243,77077,Houston,29.750897,-95.61255,12,7,2,Bar,Pizza Place,Restaurant,Discount Store,Fast Food Restaurant,Skating Rink,Grocery Store,Salon / Barbershop,Park,Supermarket
244,77079,Houston,29.773018,-95.60125,12,7,2,Pizza Place,Bakery,Fast Food Restaurant,Burger Joint,Mexican Restaurant,Fried Chicken Joint,Restaurant,Supermarket,Breakfast Spot,Liquor Store
254,77007,Houston,29.772627,-95.40319,12,7,2,Mexican Restaurant,Bar,Wings Joint,Taco Place,Sushi Restaurant,Pizza Place,Mediterranean Restaurant,Sports Bar,Bakery,Gym
261,77043,Houston,29.802473,-95.5618,12,7,2,Construction & Landscaping,Bar,IT Services,Breakfast Spot,Financial or Legal Service,Paper / Office Supplies Store,American Restaurant,BBQ Joint,Dessert Shop,Fabric Shop
263,77036,Houston,29.70053,-95.53514,12,7,2,Food,Vietnamese Restaurant,Golf Course,Japanese Restaurant,Smoke Shop,Salvadoran Restaurant,Bakery,Grocery Store,Chinese Restaurant,Thai Restaurant
265,77058,Houston,29.55283,-95.10265,12,7,2,Science Museum,Sushi Restaurant,Italian Restaurant,Vietnamese Restaurant,Bakery,Hotel,Coffee Shop,Pharmacy,Mexican Restaurant,Fast Food Restaurant
279,77090,Houston,30.012711,-95.45132,12,7,2,Chinese Restaurant,Pharmacy,Pizza Place,Sandwich Place,Vietnamese Restaurant,Mexican Restaurant,Bakery,Jewelry Store,Record Shop,Breakfast Spot
282,77027,Houston,29.739029,-95.44364,12,7,2,Furniture / Home Store,New American Restaurant,Sushi Restaurant,Cosmetics Shop,Clothing Store,Chinese Restaurant,French Restaurant,Lingerie Store,Bistro,Steakhouse
289,77008,Houston,29.798777,-95.40951,12,7,2,Ice Cream Shop,Juice Bar,Bar,Thrift / Vintage Store,Italian Restaurant,Mexican Restaurant,Restaurant,Indian Chinese Restaurant,Taco Place,Record Shop
308,78705,Austin,30.292424,-97.73856,12,7,2,Burger Joint,Sandwich Place,Food Truck,Pizza Place,Dessert Shop,Music Venue,Hookah Bar,Sports Bar,Taco Place,Rock Club
309,78727,Austin,30.425652,-97.71419,12,7,2,Mediterranean Restaurant,Gym,Construction & Landscaping,Thai Restaurant,Food Truck,Bakery,Bank,Health & Beauty Service,Pharmacy,Coffee Shop
317,78748,Austin,30.17202,-97.82265,12,7,2,Pizza Place,Video Store,Beer Garden,Martial Arts Dojo,Athletics & Sports,Gym / Fitness Center,Discount Store,Sandwich Place,Fast Food Restaurant,Pharmacy
322,78751,Austin,30.310707,-97.723,12,7,2,Coffee Shop,Italian Restaurant,Pizza Place,Breakfast Spot,Cheese Shop,Vegetarian / Vegan Restaurant,American Restaurant,Vietnamese Restaurant,Cocktail Bar,Juice Bar
324,78702,Austin,30.265158,-97.71879,12,7,2,Dive Bar,Mexican Restaurant,Coffee Shop,Cocktail Bar,Food Truck,Bar,Pub,Restaurant,Brewery,Pizza Place
325,78742,Austin,30.23358,-97.67831,12,7,2,Brewery,Bar,Dance Studio,Pizza Place,Gas Station,Rock Club,Hardware Store,Financial or Legal Service,Eye Doctor,Fabric Shop
332,78728,Austin,30.451803,-97.67989,12,7,2,Chinese Restaurant,Dessert Shop,Lake,Mediterranean Restaurant,Park,Mexican Restaurant,Coffee Shop,Fast Food Restaurant,Furniture / Home Store,Gym
346,78733,Austin,30.329704,-97.8751,12,7,2,Disc Golf,Coffee Shop,Construction & Landscaping,American Restaurant,Bakery,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
360,78704,Austin,30.246309,-97.76087,12,7,2,Coffee Shop,Food Truck,Tapas Restaurant,Ice Cream Shop,Restaurant,Thai Restaurant,Taco Place,Breakfast Spot,Mexican Restaurant,Bakery
362,78734,Austin,30.378675,-97.95028,12,7,2,Ice Cream Shop,Restaurant,Mexican Restaurant,Ski Shop,Bar,Gym / Fitness Center,Electronics Store,Athletics & Sports,Gym,Dessert Shop
367,78722,Austin,30.289307,-97.71659,12,7,2,Sandwich Place,Taco Place,Theater,Mexican Restaurant,American Restaurant,Food Truck,Bar,Coffee Shop,Rental Car Location,Café
370,78756,Austin,30.320206,-97.74177,12,7,2,Mexican Restaurant,Coffee Shop,Bakery,Taco Place,Thrift / Vintage Store,Sandwich Place,Yoga Studio,Burger Joint,Italian Restaurant,Frozen Yogurt Shop
375,78746,Austin,30.287739,-97.8022,12,7,2,Sandwich Place,Martial Arts Dojo,Pilates Studio,Liquor Store,Juice Bar,Gas Station,Pharmacy,Coffee Shop,Bank,Food & Drink Shop
378,78766,Austin,30.442202,-97.62333,12,7,2,Bar,Playground,Coffee Shop,Flower Shop,Gas Station,Garden,Mexican Restaurant,Smoke Shop,Taco Place,Diner
381,78726,Austin,30.439053,-97.83503,12,7,2,Trail,Moving Target,Construction & Landscaping,Coffee Shop,Home Service,Italian Restaurant,Furniture / Home Store,Gym,Pool,Liquor Store
383,78710,Austin,30.351953,-97.715123,12,7,2,Mexican Restaurant,Music Store,Salad Place,Gym,Rental Car Location,Vietnamese Restaurant,Taco Place,Mobile Phone Shop,Baseball Field,Automotive Shop
385,78757,Austin,30.349455,-97.73328,12,7,2,Furniture / Home Store,Bakery,Taco Place,Park,Mexican Restaurant,Coffee Shop,Burger Joint,Bar,Skating Rink,Lingerie Store
388,78713,Austin,30.468583,-97.843336,12,7,2,Pizza Place,Gym,Concert Hall,Park,Athletics & Sports,Salon / Barbershop,Coffee Shop,Sushi Restaurant,Football Stadium,Bakery
331,78737,Austin,30.19025,-97.95854,13,0,2,Stables,Construction & Landscaping,Business Service,History Museum,Zoo Exhibit,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
296,77016,Houston,29.857007,-95.30886,14,1,0,Fried Chicken Joint,Park,Clothing Store,Food,Spa,Other Repair Shop,Zoo Exhibit,Fast Food Restaurant,Eye Doctor,Fabric Shop
319,78703,Austin,30.290907,-97.76277,14,7,0,Spa,Yoga Studio,Park,Health Food Store,Bank,Shipping Store,Tanning Salon,Shoe Store,Dry Cleaner,Harbor / Marina
158,77047,Houston,29.616182,-95.37767,14,0,2,Construction & Landscaping,Fast Food Restaurant,Fried Chicken Joint,Park,Hotel,Dog Run,Road,Campground,Zoo Exhibit,Event Space
177,77029,Houston,29.760794,-95.26043,14,0,2,Construction & Landscaping,Food,Platform,Zoo Exhibit,Financial or Legal Service,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
